index,filename,name,company_value,winner
0,sc0.sc4,Forest Frontiers,137825,Patrick
1,sc1.sc4,Dynamite Dunes,1692400,Patrick
2,sc2.sc4,Leafy Lake,1326794,Patrick
3,sc3.sc4,Diamond Heights,1705706,Patrick
4,sc4.sc4,Evergreen Gardens,1780169,Patrick
5,sc5.sc4,Bumbly Beach,1015112,Patrick
6,sc6.sc4,Trinity Islands,1335319,Patrick
7,sc7.sc4,Katie's Dreamland,1099024,Patrick
8,sc8.sc4,Pokey Park,241469,Patrick
9,sc9.sc4,White Water Park,901206,Patrick
10,sc10.sc4,Millennium Mines,1452921,Patrick
11,sc11.sc4,Karts & Coasters,1607861,Patrick
12,sc12.sc4,Mel's World,3053212,Patrick
13,sc13.sc4,Mystic Mountain,697988,Patrick
14,sc14.sc4,Pacific Pyramids,1745560,Patrick
15,sc15.sc4,Crumbly Woods,1129473,Patrick
16,sc16.sc4,Paradise Pier,104910,Patrick
17,sc17.sc4,Lightning Peaks,1001563,Patrick
18,sc18.sc4,Ivory Towers,1547165,Patrick
19,sc19.sc4,Rainbow Valley,2144806,Patrick
20,sc20.sc4,Thunder Rock,2321241,Patrick
21,SC21.SC4,Mega Park,2147483648,
22,SC22.SC4,Iceberg Islands,553231,Patrick
23,SC23.SC4,Volcania,60624,Patrick
24,SC24.SC4,Arid Heights,526404,Patrick
25,SC25.SC4,Razor Rocks,357589,Patrick
26,SC26.SC4,Crater Lake,713653,Patrick
27,SC27.SC4,Vertigo Views,242380,Patrick
28,SC28.SC4,Paradise Pier 2,421948,Patrick
29,SC29.SC4,Dragon's Cove,4294932614,Patrick
30,SC30.SC4,Good Knight Park,214383,Patrick
31,SC31.SC4,Wacky Warren,281489,Patrick
32,ALTON1.SC4,Alton Towers,2147483648,
33,FORT1.SC4,Fort Anachronism,2147483648,
34,,,2147483648,
35,,,2147483648,
36,,,2147483648,
37,,,2147483648,
38,,,2147483648,
39,,,2147483648,
40,SC40.SC4,Whispering Cliffs,1340724,Patrick
41,SC41.SC4,Three Monkeys Park,762392,Patrick
42,SC42.SC4,Canary Mines,623901,Patrick
43,SC43.SC4,Barony Bridge,786320,Patrick
44,SC44.SC4,Funtopia,407620,Patrick
45,SC45.SC4,Haunted Harbour,783259,Patrick
46,SC46.SC4,Fun Fortress,1924865,Patrick
47,SC47.SC4,Future World,2604230,Patrick
48,SC48.SC4,Gentle Glen,1908018,Patrick
49,SC49.SC4,Jolly Jungle,1036011,Patrick
50,SC50.SC4,Hydro Hills,1658570,pATRICK
51,SC51.SC4,Sprightly Park,4294117375,Patrick
52,SC52.SC4,Magic Quarters,3515444,Patrick
53,SC53.SC4,Fruit Farm,1624067,Patrick
54,SC54.SC4,Butterfly Dam,3165039,Patrick
55,SC55.SC4,Coaster Canyon,2389622,Patrick
56,SC56.SC4,Thunderstorm Park,2423829,Patrick
57,SC57.SC4,Harmonic Hills,1298922,Patrick
58,SC58.SC4,Roman Village,1093931,Patrick
59,SC59.SC4,Swamp Cove,1042636,Patrick
60,SC60.SC4,Adrenaline Heights,1573505,Patrick
61,SC61.SC4,Utopia Park,626433,Patrick
62,SC62.SC4,Rotting Heights,960209,Patrick
63,SC63.SC4,Fiasco Forest,155480,Patrick
64,SC64.SC4,Pickle Park,251488,Patrick
65,SC65.SC4,Giggle Downs,840220,Patrick
66,SC66.SC4,Mineral Park,1296562,Patrick
67,SC67.SC4,Coaster Crazy,1531340,Patrick
68,SC68.SC4,Urban Park,1434998,Patrick
69,SC69.SC4,Geoffrey Gardens,1161033,Patrick
70,HEIDE.SC4,Heide-Park,2147483648,
71,,,2147483648,
72,,,2147483648,
73,,,2147483648,
74,BPB1.SC4,Blackpool Pleasure Beach,2147483648,
75,,,2147483648,
76,,,2147483648,
77,,,2147483648,
78,,,2147483648,
79,,,2147483648,
80,SC80.SC4,Grand Glacier,1696041,Patrick
81,SC81.SC4,Crazy Craters,2147483648,
82,SC82.SC4,Dusty Desert,2147483648,
83,SC83.SC4,Woodworm Park,2147483648,
84,SC84.SC4,Icarus Park,2147483648,
85,SC85.SC4,Sunny Swamps,2147483648,
86,SC86.SC4,Frightmare Hills,2147483648,
87,SC87.SC4,Thunder Rocks,2147483648,
88,SC88.SC4,Octagon Park,2147483648,
89,SC89.SC4,Pleasure Island,2147483648,
90,SC90.SC4,Icicle Worlds,2147483648,
91,SC91.SC4,Southern Sands,2147483648,
92,SC92.SC4,Tiny Towers,2147483648,
93,SC93.SC4,Nevermore Park,2147483648,
94,SC94.SC4,Pacifica,2147483648,
95,SC95.SC4,Urban Jungle,2147483648,
96,SC96.SC4,Terror Town,2147483648,
97,SC97.SC4,Megaworld Park,2147483648,
98,SC98.SC4,Venus Ponds,2147483648,
99,SC99.SC4,Micro Park,2147483648,
100,,,2147483648,
101,,,2147483648,
102,,,2147483648,
103,,,2147483648,
104,,,2147483648,
105,,,2147483648,
106,,,2147483648,
107,,,2147483648,
108,,,2147483648,
109,,,2147483648,
110,,,2147483648,
111,,,2147483648,
112,,,2147483648,
113,,,2147483648,
114,,,2147483648,
115,,,2147483648,
116,,,2147483648,
117,,,2147483648,
118,,,2147483648,
119,,,2147483648,
120,,,2147483648,
121,,,2147483648,
122,,,2147483648,
123,,,2147483648,
124,,,2147483648,
125,,,2147483648,
126,,,2147483648,
127,,,2147483648,
